,Common name,Binomial,Category,Order,Family
869,Painted finch,Emblema pictum,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
870,Blue-faced parrotfinch,Erythrura trichroa,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
871,Gouldian finch,Erythrura gouldiae,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
872,Nutmeg mannikin,Lonchura punctulata,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
873,Pale-headed munia,Lonchura pallida,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
874,Yellow-rumped mannikin,Lonchura flaviprymna,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
875,Chestnut-breasted mannikin,Lonchura castaneothorax,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
876,Java sparrow,Lonchura oryzivora,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
877,Pictorella mannikin,Heteromunia pectoralis,"Australasian finches, firetails and waxbills",Passeriformes,Estrildidae
878,House sparrow,Passer domesticus,Old World sparrows,Passeriformes,Passeridae
879,Eurasian tree sparrow,Passer montanus,Old World sparrows,Passeriformes,Passeridae
880,Australasian pipit,Anthus novaeseelandiae,Wagtails and pipits,Passeriformes,Motacillidae
881,Red-throated pipit,Anthus cervinus,Wagtails and pipits,Passeriformes,Motacillidae
882,Pechora pipit,Anthus gustavi,Wagtails and pipits,Passeriformes,Motacillidae
883,Eastern yellow wagtail,Motacilla tschutschensis,Wagtails and pipits,Passeriformes,Motacillidae
884,Green-headed yellow wagtail,Motacilla taivana,Wagtails and pipits,Passeriformes,Motacillidae
885,Citrine wagtail,Motacilla citreola,Wagtails and pipits,Passeriformes,Motacillidae
886,Grey wagtail,Motacilla cinerea,Wagtails and pipits,Passeriformes,Motacillidae
887,White wagtail,Motacilla alba,Wagtails and pipits,Passeriformes,Motacillidae
888,Common chaffinch,Fringilla coelebs,"Finches, crossbills and allies",Passeriformes,Fringillidae
889,European goldfinch,Carduelis carduelis,"Finches, crossbills and allies",Passeriformes,Fringillidae
890,Common redpoll,Acanthis flammea,"Finches, crossbills and allies",Passeriformes,Fringillidae
891,European greenfinch,Chloris chloris,"Finches, crossbills and allies",Passeriformes,Fringillidae
892,Yellowhammer,Emberiza citrinella,"Buntings, seedeaters and allies",Passeriformes,Emberizidae
